Data;CRAS;Observador;Sequencia;Hora;Minuto;Cenario
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;1;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;2;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;3;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;4;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;5;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;6;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;7;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;8;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;9;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;10;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;11;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;12;7;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;13;7;33;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;14;7;35;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;15;7;37;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;16;7;38;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;17;7;38;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;18;7;38;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;19;7;46;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;20;7;46;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;21;7;49;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;22;7;50;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;23;7;53;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;24;7;55;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;25;8;8;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;26;8;10;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;27;8;13;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;28;8;23;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;29;8;24;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;30;8;26;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;31;8;26;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;32;8;30;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;33;8;37;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;34;8;50;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;35;8;54;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;36;8;54;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;37;9;4;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;38;9;9;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;39;9;10;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;40;9;25;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;41;9;25;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;42;9;41;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;43;9;47;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;44;9;49;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;45;9;56;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;46;10;3;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;47;10;5;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;48;10;6;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;49;10;15;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;50;10;22;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;51;10;26;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;52;10;33;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;53;10;37;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;54;10;38;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;55;10;40;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;56;10;57;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;57;10;58;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;58;11;1;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;59;11;12;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;60;11;24;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;61;11;41;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Isaac Rafael;62;11;49;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;63;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;64;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;65;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;66;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;67;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;68;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;69;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;70;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;71;13;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;72;13;33;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;73;13;34;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;74;13;39;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;75;13;46;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;76;13;47;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;77;13;47;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;78;13;49;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;79;13;50;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;80;14;0;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;81;14;4;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;82;14;5;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;83;14;6;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;84;14;6;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;85;14;14;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;86;14;16;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;87;14;18;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;88;14;21;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;89;14;33;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;90;14;34;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;91;14;36;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;92;14;38;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;93;14;39;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;94;14;50;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;95;14;57;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;96;15;3;A
27/05/2026;SUL IV ESPAÇO FAMÍLIA E CIDADÃ;João Felipe e Vitor;97;15;47;A
28/05/2026;NORTE III;;98;7;30;A
28/05/2026;NORTE III;;99;7;30;A
28/05/2026;NORTE III;;100;7;30;A
28/05/2026;NORTE III;;101;7;30;A
28/05/2026;NORTE III;;102;7;30;A
28/05/2026;NORTE III;;103;7;30;A
28/05/2026;NORTE III;;104;7;30;A
28/05/2026;NORTE III;;105;7;30;A
28/05/2026;NORTE III;;106;7;30;A
28/05/2026;NORTE III;;107;7;30;A
28/05/2026;NORTE III;;108;7;30;A
28/05/2026;NORTE III;;109;7;30;A
28/05/2026;NORTE III;;110;7;30;A
28/05/2026;NORTE III;;111;7;30;A
28/05/2026;NORTE III;;112;7;30;A
28/05/2026;NORTE III;;113;7;30;A
28/05/2026;NORTE III;;114;7;30;A
28/05/2026;NORTE III;;115;7;30;A
28/05/2026;NORTE III;;116;7;30;A
28/05/2026;NORTE III;;117;7;40;A
28/05/2026;NORTE III;;118;7;41;A
28/05/2026;NORTE III;;119;7;41;A
28/05/2026;NORTE III;;120;7;43;A
28/05/2026;NORTE III;;121;7;44;A
28/05/2026;NORTE III;;122;7;44;A
28/05/2026;NORTE III;;123;7;50;A
28/05/2026;NORTE III;;124;7;57;A
28/05/2026;NORTE III;;125;8;5;A
28/05/2026;NORTE III;;126;8;25;A
28/05/2026;NORTE III;;127;8;32;A
28/05/2026;NORTE III;;128;8;32;A
28/05/2026;NORTE III;;129;8;35;A
28/05/2026;NORTE III;;130;8;39;A
28/05/2026;NORTE III;;131;8;42;B
28/05/2026;NORTE III;;132;8;50;A
28/05/2026;NORTE III;;133;8;50;A
28/05/2026;NORTE III;;134;8;53;A
28/05/2026;NORTE III;;135;8;53;A
28/05/2026;NORTE III;;136;8;56;A
28/05/2026;NORTE III;;137;8;59;B
28/05/2026;NORTE III;;138;9;4;B
28/05/2026;NORTE III;;139;9;8;A
28/05/2026;NORTE III;;140;9;12;A
28/05/2026;NORTE III;;141;9;23;A
28/05/2026;NORTE III;;142;9;26;A
28/05/2026;NORTE III;;143;9;28;A
28/05/2026;NORTE III;;144;9;28;A
28/05/2026;NORTE III;;145;9;57;A
28/05/2026;NORTE III;;146;10;17;B
28/05/2026;NORTE III;;147;10;22;B
28/05/2026;NORTE III;;148;10;24;B
28/05/2026;NORTE III;;149;10;27;B
28/05/2026;NORTE III;;150;10;39;B
28/05/2026;NORTE III;;151;10;39;B
28/05/2026;NORTE III;;152;10;40;B
28/05/2026;NORTE III;;153;10;58;B
28/05/2026;NORTE III;;154;11;30;B
28/05/2026;NORTE III;;155;12;30;B
28/05/2026;NORTE III;;156;12;30;B
28/05/2026;NORTE III;;157;12;30;B
28/05/2026;NORTE III;;158;12;30;B
28/05/2026;NORTE III;;159;12;30;B
28/05/2026;NORTE III;;160;12;30;B
28/05/2026;NORTE III;;161;12;30;B
28/05/2026;NORTE III;;162;12;30;B
28/05/2026;NORTE III;;163;12;44;B
28/05/2026;NORTE III;;164;12;49;B
28/05/2026;NORTE III;;165;13;0;B
28/05/2026;NORTE III;;166;13;0;B
28/05/2026;NORTE III;;167;13;4;B
28/05/2026;NORTE III;;168;13;17;B
28/05/2026;NORTE III;;169;13;17;B
28/05/2026;NORTE III;;170;13;18;B
28/05/2026;NORTE III;;171;13;19;B
28/05/2026;NORTE III;;172;13;23;B
28/05/2026;NORTE III;;173;13;23;B
28/05/2026;NORTE III;;174;13;27;B
28/05/2026;NORTE III;;175;13;53;B
28/05/2026;NORTE III;;176;14;47;B
28/05/2026;NORTE III;;177;14;50;B
28/05/2026;SUL IV;Giovanni;178;7;6;A
28/05/2026;SUL IV;Giovanni;179;7;12;A
28/05/2026;SUL IV;Giovanni;180;7;12;A
28/05/2026;SUL IV;Giovanni;181;7;14;A
28/05/2026;SUL IV;Giovanni;182;7;15;A
28/05/2026;SUL IV;Giovanni;183;7;15;A
28/05/2026;SUL IV;Giovanni;184;7;15;A
28/05/2026;SUL IV;Giovanni;185;7;16;A
28/05/2026;SUL IV;Giovanni;186;7;16;A
28/05/2026;SUL IV;Giovanni;187;7;20;A
28/05/2026;SUL IV;Giovanni;188;7;21;A
28/05/2026;SUL IV;Giovanni;189;7;24;A
28/05/2026;SUL IV;Giovanni;190;7;29;A
28/05/2026;SUL IV;Giovanni;191;7;30;A
28/05/2026;SUL IV;Giovanni;192;7;35;A
28/05/2026;SUL IV;Giovanni;193;7;35;A
28/05/2026;SUL IV;Giovanni;194;7;46;A
28/05/2026;SUL IV;Giovanni;195;7;50;A
28/05/2026;SUL IV;Giovanni;196;8;3;A
28/05/2026;SUL IV;Giovanni;197;8;11;A
28/05/2026;SUL IV;Giovanni;198;8;11;A
28/05/2026;SUL IV;Giovanni;199;8;13;A
28/05/2026;SUL IV;Giovanni;200;8;26;A
28/05/2026;SUL IV;Giovanni;201;8;28;A
28/05/2026;SUL IV;Giovanni;202;8;32;A
28/05/2026;SUL IV;Giovanni;203;8;32;A
28/05/2026;SUL IV;Giovanni;204;8;46;A
28/05/2026;SUL IV;Giovanni;205;8;49;A
28/05/2026;SUL IV;Giovanni;206;8;54;A
28/05/2026;SUL IV;Giovanni;207;8;57;A
28/05/2026;SUL IV;Giovanni;208;9;0;A
28/05/2026;SUL IV;Giovanni;209;9;2;A
28/05/2026;SUL IV;Giovanni;210;9;6;A
28/05/2026;SUL IV;Giovanni;211;9;12;A
28/05/2026;SUL IV;Giovanni;212;9;19;A
28/05/2026;SUL IV;Giovanni;213;9;19;A
28/05/2026;SUL IV;Giovanni;214;9;19;A
28/05/2026;SUL IV;Giovanni;215;9;27;A
28/05/2026;SUL IV;Giovanni;216;9;31;A
28/05/2026;SUL IV;Giovanni;217;9;31;A
28/05/2026;SUL IV;Giovanni;218;9;34;A
28/05/2026;SUL IV;Giovanni;219;9;34;A
28/05/2026;SUL IV;Giovanni;220;9;49;A
28/05/2026;SUL IV;Giovanni;221;9;49;A
28/05/2026;SUL IV;Giovanni;222;9;49;A
28/05/2026;SUL IV;Giovanni;223;9;53;A
28/05/2026;SUL IV;Giovanni;224;10;12;A
28/05/2026;SUL IV;Giovanni;225;10;23;A
28/05/2026;SUL IV;Giovanni;226;10;23;A
28/05/2026;SUL IV;Giovanni;227;10;28;A
28/05/2026;SUL IV;Giovanni;228;10;28;A
28/05/2026;SUL IV;Giovanni;229;10;28;A
28/05/2026;SUL IV;Giovanni;230;10;28;A
28/05/2026;SUL IV;Giovanni;231;10;34;A
28/05/2026;SUL IV;Giovanni;232;10;34;A
28/05/2026;SUL IV;Giovanni;233;10;34;A
28/05/2026;SUL IV;Giovanni;234;10;38;A
28/05/2026;SUL IV;Giovanni;235;10;39;A
28/05/2026;SUL IV;Giovanni;236;10;41;A
28/05/2026;SUL IV;Giovanni;237;10;41;A
28/05/2026;SUL IV;Giovanni;238;10;46;A
28/05/2026;SUL IV;Giovanni;239;10;46;A
28/05/2026;SUL IV;Giovanni;240;10;52;A
28/05/2026;SUL IV;Giovanni;241;10;55;B
28/05/2026;SUL IV;Giovanni;242;11;1;B
28/05/2026;SUL IV;Giovanni;243;11;7;B
28/05/2026;SUL IV;Giovanni;244;11;26;B
28/05/2026;SUL IV;Giovanni;245;11;35;B
28/05/2026;SUL IV;Giovanni;246;11;41;B
28/05/2026;SUL IV;Giovanni;247;11;53;B
28/05/2026;SUL IV;Giovanni;248;12;27;B
28/05/2026;SUL IV;Giovanni;249;12;29;B
28/05/2026;SUL IV;Giovanni;250;12;46;B
28/05/2026;SUL IV;Giovanni;251;13;0;B
28/05/2026;SUL IV;Giovanni;252;13;6;B
28/05/2026;SUL IV;Giovanni;253;13;11;B
28/05/2026;SUL IV;Giovanni;254;13;15;B
28/05/2026;SUL IV;Giovanni;255;13;32;B
28/05/2026;SUL IV;Giovanni;256;13;42;B
28/05/2026;SUL IV;Giovanni;257;13;51;B
28/05/2026;SUL IV;Giovanni;258;13;55;B
28/05/2026;SUL IV;Giovanni;259;14;17;B
28/05/2026;SUL IV;Giovanni;260;14;18;B
28/05/2026;SUL IV;Giovanni;261;14;18;B
28/05/2026;SUL IV;Giovanni;262;14;21;B
28/05/2026;SUL IV;Giovanni;263;14;41;B
28/05/2026;SUL IV;Giovanni;264;14;41;B
28/05/2026;SUL IV;Giovanni;265;14;58;B
28/05/2026;SUL IV;Giovanni;266;14;58;B
28/05/2026;SUL IV;Giovanni;267;15;28;B
28/05/2026;SUL IV;Giovanni;268;15;32;B
28/05/2026;SUL IV;Giovanni;269;15;32;B
28/05/2026;SUL IV;Giovanni;270;16;0;B
;;;271;0;0;
